title,year,creator,tags,summary,url,thumbnail
Teenagers From Outer Space,1959,Tom Graeff,sci-fi | horror | MST3K,A young alien (David Love) falls for a pretty teenage Earth girl (Dawn Anderson) and they team up to try to stop the plans of his invading cohorts. NOTE: This is the MPEG2 (and derivative versions). An AVI version is available here .,https://archive.org/details/TeenagersFromOuterSpace,https://archive.org/services/img/TeenagersFromOuterSpace
The Wolf Man - 1941,1941,George Waggner,George Waggner | horror | mystery | romance | Universal Legacy Collection,"Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller.",https://archive.org/details/the-wolf-man-1941_202106,https://archive.org/services/img/the-wolf-man-1941_202106
ABBOTT & COSTELLO MEET THE INVISIBLE MAN,,CHARLES LAMONT,feature length film | video | movie,Two bumbling private eyes help a man wrongly accused of murder who has become invisible to help clear his name.....Boxer Tommy Nelson is accused of killing his manager. While detectives Bud and Lou investigate they come across an…,https://archive.org/details/AbbottCostelloMeetTheInvisibleMan,https://archive.org/services/img/AbbottCostelloMeetTheInvisibleMan
Tol'able David,1921,Henry King,Silent | Drama,"Silent (no soundtrack) From the Wikipedia entry for ""Tol'able David"": ""Tol'able David is a 1921 American silent film based on the Joseph Hergesheimer short story. It was adapted to the screen by Edmund Goulding and directed by Henry King…",https://archive.org/details/TolableDavid,https://archive.org/services/img/TolableDavid
Follow Your Heart,1936,Nat Levine,Musical,You can find more information regarding this film on its IMDb page .,https://archive.org/details/follow_your_heart,https://archive.org/services/img/follow_your_heart
Exile Express,1939,Eugene Frenke,Drama,"Anna Sten plays Nadine Nikolas, a Russian emigrant to the United States who is diligently studying for her citizenship qualification exam and employed as a laboratory assistant for a research chemist, Dr. Hite (Harry Davenport) who has…",https://archive.org/details/ExileExpress,https://archive.org/services/img/ExileExpress
I Killed Wild Bill Hickok,1956,Johnny Carpenter,western,"Told in flashback, this is the story of the man that shot Wild Bill Hickok. You can find more information regarding this film on its IMDb page .",https://archive.org/details/i_killed_wild_bill_hickok,https://archive.org/services/img/i_killed_wild_bill_hickok
Fighting Men,1953,,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/fighting_men,https://archive.org/services/img/fighting_men
The Phantom Of Liberty 1974,,ays,The Phantom Of Liberty 1974,The Phantom Of Liberty 1974,https://archive.org/details/the-phantom-of-liberty-1974,https://archive.org/services/img/the-phantom-of-liberty-1974
"20,000 Leagues Under The Sea",1916,Public Domain,,,https://archive.org/details/20000Leagues_1916,https://archive.org/services/img/20000Leagues_1916
Cowboy And The Indians (Gene Autry),,NoseSilo,cowboy and the indians | gene autry | autry | jay silverheels | westerns | sheila ryan,"1949 directed by John English starring Gene Autry and Champion, Sheila Ryan, Frank Richards, Hank Patterson and Jay Silverheels. Gene gets angry when he discovers sheep from the nearby Indian reserve are trampling around his cattle land,…",https://archive.org/details/CowboyAndTheIndiansGeneAutryAppleTV,https://archive.org/services/img/CowboyAndTheIndiansGeneAutryAppleTV
The Eagle,1925,"Joseph M. Schenck, John W. Considine Jr.",romance | comedy | pdmovies,,https://archive.org/details/the_eagle,https://archive.org/services/img/the_eagle
Rough Riding Ranger,1935,Louis Weiss,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/rough_riding_ranger,https://archive.org/services/img/rough_riding_ranger
Track of the Moon Beast,1976,,Horror | Sci-fi | Monster | Low budget,"A young man is transformed into a hideous ""moon beast"" due to a meteor fragment lodged in his body. (from IMDB)",https://archive.org/details/TrackoftheMoonBeast,https://archive.org/services/img/TrackoftheMoonBeast
Carnival Story,1957,Frank and Maurice King,Drama | Anne Baxter,"A young girl (Anne Baxter) runs away and joins with a travelling carnival troupe in Colonia (Germany),the American-owned circus in all its beautiful sadness in the setting. She is enamored by her employer (Steve Cochran) and is hired by…",https://archive.org/details/CarnivalStory,https://archive.org/services/img/CarnivalStory
Alfred Hitchcock Trailer Collection,2009,Alfred Hitchcock,Feature Films | Trailers | Alfred Hitchcock,A collection of Alfred Hitchcock Trailers/Featurettes.,https://archive.org/details/HitchcockTrailers,https://archive.org/services/img/HitchcockTrailers
Paradise Isle,1937,Dorothy Davenport,Adventure | Drama | Music | Romance,A blind artist is on his way to Java to see a doctor about an operation to restore his sight when the ship sinks and he washes up on a tropical island.,https://archive.org/details/paradise_isle_ipod,https://archive.org/services/img/paradise_isle_ipod
Rolling Home,1946,William A. Berke,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/rolling_home,https://archive.org/services/img/rolling_home
Pool Sharks,1915,,comedy | short,W.C. Fields first comedy short. You can find more information regarding this film on its IMDb page .,https://archive.org/details/pool_sharks,https://archive.org/services/img/pool_sharks
Planet Outlaws,1953,,Fantasy | Sci-Fi,"Buck Rogers and his pal Buddy (Jackie Moran) are released from suspended animation after 500 years. They discover that the world is under the thumb of modernistic mobster Killer Kane (Anthony Warde), and are enlisted in the fight against…",https://archive.org/details/planet_outlaws,https://archive.org/services/img/planet_outlaws
"Goodbye, America",2006,,goodbye america | goodbye | america | oksman,A Sergio Oksman film.,https://archive.org/details/goodbyeamerica2006,https://archive.org/services/img/goodbyeamerica2006
Valley Of The Dolls(1967) BD RIP,1967,Mark Robson,Sharon Tate | Patty Duke | Paul Scotti | Joey Bishop | Barbara Parkins | Dionne Warwick | Lee Grant | Naomi Stevens,DISCLAIMER: THIS MOVIE IS A PRODUCT OF ITS TIME! I DO NOT CONDONE THE USE OF HOMOPHOBIC SLURS! BEST QUALITY RIP AVAILABLE! Plot: Film version of Jacqueline Susann's best-selling novel chronicling the rise and fall of three young women in…,https://archive.org/details/valley.-of.-the.-dolls.-1967.1080p.-blu-ray.x-264-yts.-am,https://archive.org/services/img/valley.-of.-the.-dolls.-1967.1080p.-blu-ray.x-264-yts.-am
Fighting Caravans,1931,Zane Grey,Gary Cooper | frontier | California | Cowboys and Indians,"http://www.imdb.com/title/tt0021861/ A strikingly handsome (and tall), youthful Gary Cooper -- this is the opportunity to see a giant screen legend when he was a vibrant young newcomer! This alone merits seeing this movie. The dialogue is…",https://archive.org/details/FightingCaravansGaryCooper1931,https://archive.org/services/img/FightingCaravansGaryCooper1931
D.O.A.,1955,Leo C. Popkin,suspense | film noir,Acclaimed film noir story of man trying desperately to find who has given him a slow-acting fatal dose of radium.,https://archive.org/details/doa_ipod,https://archive.org/services/img/doa_ipod
Snake People,1971,Azteca Films,Horror | Boris Karloff | Movie Powder | avi,"The inhabitants of a small, remote island have been practicing voodoo rites and worshipping an evil priest named Damballah for years, but the local law officials generally turn a blind eye to this death cult's bizarre activities. Captain…",https://archive.org/details/SnakePeople,https://archive.org/services/img/SnakePeople
A Yank in Libya,1942,George Merrick,World War II Arabs Libya,An American journalist exposes Nazi gunrunners trying to start an Arab revolt. H.B.Warner.... Herbert Forbes Walter Woolf King .... Mike Malone Harry Parke .... 'Parky' Parkyarkarkus (as Parkyarkarkus) Joan Woodbury .... Nancy…,https://archive.org/details/AYankinLibya,https://archive.org/services/img/AYankinLibya
Battleship Potemkin 1925,,,pdmovies,"Montage, which was not just Eistenstein's knack but also his life's blood early in his career, is often misused in the present cinema, or if not misused then in an improper context for the story. Sometimes montage is used now as just…",https://archive.org/details/PhantasmagoriaTheater-BattleshipPotemkin1925396,https://archive.org/services/img/PhantasmagoriaTheater-BattleshipPotemkin1925396
EnemyofWomen,,,war | drama,,https://archive.org/details/EnemyOfWomen1944,https://archive.org/services/img/EnemyOfWomen1944
Assignment Outer Space,1960,Titanus,Sci-Fi | Space Men | Movie Powder | avi,"In the 21st century Ray Peterson, reporter for the Interplanetary News, is assigned to write a story aboard a space station. - IMDB Description",https://archive.org/details/AssignmentOuterSpace,https://archive.org/services/img/AssignmentOuterSpace
Atom Age Vampire (1960),,,atom age vampire | italian horror,"Atom Age Vampire is an Italian horror film ( Seddok, L'Erede di Satana ) that has has been dubbed into English. A car accident disfigures exotic dancer Jeanette Moreneau and after the plastic surgeons have given up on her Professor Alberto…",https://archive.org/details/AtomAgeVampire1960,https://archive.org/services/img/AtomAgeVampire1960
The Devil Bat 720p 1940,,,,A mad scientist develops an aftershave lotion that causes his gigantic bats to kill anyone who wears it. -IMDB 720p version.,https://archive.org/details/TheDevilBat720p1940,https://archive.org/services/img/TheDevilBat720p1940
Nayakan ( 1987),1987,Mani Ratnam,Nayakan | Nayagan | The Hero | Kamal Haasan | Kamal Hasan | Mani Ratnam | Tamil Movies | Tamil Film,"Nayakan is a 1987 Indian Tamil -language gangster film written and directed by Mani Ratnam . Produced by Muktha Srinivasan , the film stars Kamal Haasan , Saranya (in her feature debut) and Karthika , with Janagaraj , Vijayan , M. V.…",https://archive.org/details/nayakan-1987,https://archive.org/services/img/nayakan-1987
Streamline Express,1935,,Victory Jory | Evelyn Venable | Clay Clement | Erin O'Brien-Moore | Ralph Forbes | Sidney Blackmer | Vince Barnett | Bobby Watson,"As of 202 there is now a better restored copy of this movie from Grapevinevideo.com, but it still has some missing video that had to be filled in with stills or other video. The Grapevine original DVD had incorrect telecining which…",https://archive.org/details/StreamlineExpress1935,https://archive.org/services/img/StreamlineExpress1935
Here's Flash Casey,1938,Arthur Alexander,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/heres_flash_casey,https://archive.org/services/img/heres_flash_casey
The Haunting - 1963,1963,Robert Wise,Robert Wise | Shirley Jackson | The Haunting of Hill House | horror,"Hill House has stood for about 90 years and appears haunted: its inhabitants have always met strange, tragic ends. Now Dr. John Markway has assembled a team of people who he thinks will prove whether or not the house is haunted.",https://archive.org/details/the-haunting-1963_202106,https://archive.org/services/img/the-haunting-1963_202106
"""Joyless Street"" [""Die Freudlose Gasse""] [1925]",,Georg Wilhelm Pabst,"Georg Wilhelm Pabst | German cinema | Greta Garbo | ""New Objectivity"" movement | silent film",Plot [Wikipedia]... In 1921 in the poor part of an Austrian town called Melchiorgasse there are only two wealthy people: the butcher Josef Geiringer and his wife. Mrs. Greifer runs a fashion boutique and a nightclub patronized by wealthy…,https://archive.org/details/joylessStreetdieFreudloseGasse1925,https://archive.org/services/img/joylessStreetdieFreudloseGasse1925
Wrong Road,1936,,,Spoiled young lovers rob bank and hide the loot. Lionell Atwill tries to find it. With Richard Cromwell and Helen Mack.,https://archive.org/details/wrong_road,https://archive.org/services/img/wrong_road
Mujhse Dosti Karoge 2002 Dv Drip X 264 DTS... Hon 3y,,,movie,Mujhse Dosti Karoge,https://archive.org/details/mujhse-dosti-karoge-2002-dv-drip-x-264-dts...-hon-3y,https://archive.org/services/img/mujhse-dosti-karoge-2002-dv-drip-x-264-dts...-hon-3y
Esther and the King,,,Biblical | Historical | Peblum,"Unlike the other copy on the archive, this is the WHOLE movie!",https://archive.org/details/EstherAndTheKing,https://archive.org/services/img/EstherAndTheKing
Dreaming Out Loud,1940,Jack Votion,Comedy | Lum and Abner,"The first film adaptation of the ""Lum and Abner"" Radio Program.",https://archive.org/details/dreaming_out_loud,https://archive.org/services/img/dreaming_out_loud
The Private Life of Henry VIII.,1933,"Alexander Korda, Ludovico Toeplitz",Biography | Drama | History | Charles Laughton | Elsa Lanchester | Merle Oberon,"The film follows the private life of the infamous 16th century British monarch, King Henry the VIII, and his misadventures in his various marriages. Henry the VIII is wonderfully portrayed by the highly talented and entertaining Charles…",https://archive.org/details/ThePrivateLifeofHenryVIII.,https://archive.org/services/img/ThePrivateLifeofHenryVIII.
10 Smart Alecks,2015,,East Side Kids | Leo Gorcey | Bobby Jordan | Huntz Hall | Sunshine Sammy Morrison | Gale Storm | Marie Windsor | Sam Katzman,Smart Alecks is a black and white 1942 American film directed by Wallace Fox and produced by Sam Katzman for Monogram Pictues. It features an early performance by Gale Storm and and brief cameo by Marie Windsor as a nurse and was the tenth…,https://archive.org/details/10SmartAlecks,https://archive.org/services/img/10SmartAlecks
Thirteenth Guest,1932,,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/thirteenth_guest,https://archive.org/services/img/thirteenth_guest
The Gods Must Be Crazy 3 - Crazy Safari,1991,,gods must be crazy | N!xau | crazy safari | 1991 | chinese | Fei zhou he shang,"Fei zhou he shang - The Gods Must Be Crazy 3 Two guys, one of them a magician, are transporting an ancient chinese vampire who can only be controlled by a series of yellow tapes, and is the ancestor of the other guy. On the way, while…",https://archive.org/details/GodsMustBeCrazy3CrazySafari,https://archive.org/services/img/GodsMustBeCrazy3CrazySafari
Slander House,1938,,drama,You can find more information regarding this film on its IMDb page .,https://archive.org/details/slander_house,https://archive.org/services/img/slander_house
Narcotics,,,Drama,film,https://archive.org/details/Narcotics,https://archive.org/services/img/Narcotics
THE CITY OF THE DEAD video quality upgrade,,Donald Taylor,Horror | witchcraft | human sacrifice | Patricia Jessel | Dennis Lotis | Christopher Lee | Betta St John | Venetia Stevenson,"This print is much sharper and cleaner than the existing IA copies, and it's in the correct aspect ratio. Known for its highly atmospheric settings and structural similarity to ""Psycho,"" which was purely coincidental, ""City of the Dead""…",https://archive.org/details/CityOfTheDeadVideoQualityUpgrade,https://archive.org/services/img/CityOfTheDeadVideoQualityUpgrade
Little Annie Rooney,1925,Mary Pickford,Silent | Drama | Comedy | Mary Pickford,"A tough slum girl, Annabelle 'Little Annie' Rooney (Mary Pickford), faces a crisis of the heart when the boy she loves (William Haines) is accused of shooting her cop father (Walter James). Her brother (Gordon Griffith) stalks the accused…",https://archive.org/details/LittleAnnieRooney_,https://archive.org/services/img/LittleAnnieRooney_
The_Navy_Way_(1944),,,William Berke | Robert Lowery | Jean Parker | William Henry | Roscoe Karns | Navy | WW2 | recruit,"Another military themed movie, made during the 2nd World War, so it's a little on the ""gung ho"" side. This is a little different from the other copy that is available, here. The opening title music has been restored and the hiss, pop,…",https://archive.org/details/The_Navy_Way_1944,https://archive.org/services/img/The_Navy_Way_1944
Beast Of Yucca Flats,,,Beast Of Yuuca Flats,This film has fallen into the Public Domain.,https://archive.org/details/BeastOfYuccaFlats,https://archive.org/services/img/BeastOfYuccaFlats
The Meaning of Life,1983,,Monty Python | British comedy | 1980s | 20th century,Monty Python's The Meaning of Life,https://archive.org/details/monty-python__the-meaning-of-life__1983,https://archive.org/services/img/monty-python__the-meaning-of-life__1983
Kiki,1931,Mary Pickford,Musical | Comedy | Mary Pickford,Mary Pickford plays a French chorus girl in New York trying to make good and survive.,https://archive.org/details/Kiki_,https://archive.org/services/img/Kiki_
"Charlie Chaplin's ""His Favorite Pasttime""",1914,,Charlie Chaplin | Silents,Charlie Chaplin's 7th Film Released March 16 1914. http://www.imdb.com/title/tt0004091/ Charlie Chaplin In The Internet Archive http://www.archive.org/details/CC_1914_02_02_MakingALiving…,https://archive.org/details/CC_1914_03_16_HisFavoritePasttime,https://archive.org/services/img/CC_1914_03_16_HisFavoritePasttime
Laddie,1940,,Gene Stratton-Porter,Based on the novel by Gene Stratton-Porter.,https://archive.org/details/Laddie_1940,https://archive.org/services/img/Laddie_1940
In Love With Life,1934,Maury M. Cohen,drama,You can find more information regarding this film on its IMDb page .,https://archive.org/details/in_love_with_life,https://archive.org/services/img/in_love_with_life
Quatermass and the Pit,1967,Roy Ward Baker,Roy Ward Baker | horror | mystery | sci-fi | Hammer Films,"A mysterious artifact is unearthed in London, and famous scientist Bernard Quatermass is called into to divine its origins and explain its strange effects on people.",https://archive.org/details/quatermass-and-the-pit,https://archive.org/services/img/quatermass-and-the-pit
Whispering City (1947),,,Film-Noir | Crime | Crime Drama,"A reporter hears that a famous actress is dying in a hospital after being hit by a car. She goes to the hospital to interview the actress, who tells the reporter that her wealthy fiance, who was killed in an accident several years before,…",https://archive.org/details/WhisperingCity,https://archive.org/services/img/WhisperingCity
Walk the Dark Street (1956),,,Film-Noir | Crime | Chuck Connors,Check out the IMDb page for this film for more details. http://www.imdb.com/title/tt0049932/,https://archive.org/details/WalkTheDarkStreet,https://archive.org/services/img/WalkTheDarkStreet
God's Gun,1976,Gianfranco Parolini,,"Israeli-Italian western starring Jack Palance, Lee Van Cleef, Sybil Danning, and teen idol, Leif Garrett. A priest turns gunfighter to avenge his brother's death.",https://archive.org/details/Gods_Gun.avi,https://archive.org/services/img/Gods_Gun.avi
The Vampire Bat,1933,Phil Goldstone,vampire | bat | horror | golden age | Lionel Atwill | Fay Wray | Melvyn Douglas | Dwight Frye,"""These are the TALONS of The Vampire Bat"" This copy is sharper than the others that appear on the Internet Archive. Copyright Status: PUBLIC DOMAIN Registered: THE VAMPIRE BAT. 1933. 7 reels. Credits: Producer, Phil Goldstone; director,…",https://archive.org/details/The_Vampire_Bat_1933,https://archive.org/services/img/The_Vampire_Bat_1933
The Balloonatic,,,buster keaton | silents | flight,The Balloonatic with Buster Keaton. 1923. This Keaton filkm is already in the Archive but this is a better print and I have added a music track.,https://archive.org/details/TheBalloonatic_697,https://archive.org/services/img/TheBalloonatic_697
The Bad Sleep Well,1963,Akira Kurosawa,Akira Kurosawa | Japanese | English subtitles | postwar Japan | corporate corruption | Hamlet | Classic | 1960,"A young executive hunts down his father’s killer in director Akira Kurosawa’s scathing The Bad Sleep Well. Continuing his legendary collaboration with actor Toshiro Mifune, Kurosawa combines elements of Hamlet and American film noir to…",https://archive.org/details/the-bad-sleep-well,https://archive.org/services/img/the-bad-sleep-well
The Song of Bernadette,1943,Twentieth Century Fox,Biography | Drama,"Title: The Song of Bernadette Summary: In 1858 France, Bernadette, an adolescent peasant girl, has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this, but the townspeople all ... Directed…",https://archive.org/details/TheSongOfBernadette1943,https://archive.org/services/img/TheSongOfBernadette1943
My Favorite Burnette iPod Version,1947,Daniel Dare,comedy | romance,Bob Hope comedy with Dorothy Lamour. | You can find more information regarding this film on its IMDb page .,https://archive.org/details/my_favorite_brunette_ipod_version,https://archive.org/services/img/my_favorite_brunette_ipod_version
T-Bird Gang,1959,"Stanley Bickman, Roger Corman",Drama,"After Frank's father, a night watchman, was murdered in the robbery of the warehouse that he was guarding, with the police knowing that it was the Hendricks mob who committed the murder but not having any evidence to arrest or convict…",https://archive.org/details/T-BirdGang,https://archive.org/services/img/T-BirdGang
The Kid Auto Race in Venice,1914,Mack Sennett,Silent | Comedy | Charles Chaplin,"Charlie the Tramp comes to a kid auto race, which a director just happens to be filming. Charlie constantly gets in the way, annoying the director, cameraman, and public. This film marks the first appearance of Charlie Chaplin's famous…",https://archive.org/details/TheKidAutoRaceinVenice,https://archive.org/services/img/TheKidAutoRaceinVenice
Beast of Yucca Flats,1961,,Tor Johnson | horror,Tor Johnson is a defecting Russian scientist who is transformed into a deranged caveman by the detonation of an atomic bomb. The IMDB entry is here .,https://archive.org/details/Beast_of_Yucca_Flats_movie,https://archive.org/services/img/Beast_of_Yucca_Flats_movie
Tomorrow's Youth,1934,,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/tomorrows_youth,https://archive.org/services/img/tomorrows_youth
Der Traum der Bildhauers AKA The Sculptors Dream,1906,Johann Schwarzer,,,https://archive.org/details/silent-der-traum-der-bildhauers-aka-the-sculptors-dream,https://archive.org/services/img/silent-der-traum-der-bildhauers-aka-the-sculptors-dream
The Conquering Power,1921,Rex Ingram,Drama | Silent,"From the Wikipedia entry for ""The Conquering Power"": ""The Conquering Power is a silent film made in 1921, directed by Rex Ingram and starring Rudolph Valentino, Alice Terry, and Ralph Lewis. It was based on the novel Eugénie Grandet by…",https://archive.org/details/TheConqueringPower,https://archive.org/services/img/TheConqueringPower
Managed Money,1934,R M Savini,Frank Coghlan Jr | Shirley Temple | Frolics of Youth | short | educational pictures,"A Junior Coghlan/Shirley Temple ""Frolics of Youth"" short.",https://archive.org/details/ManagedMoney,https://archive.org/services/img/ManagedMoney
Bloody Pit of Horror,1965,,horror | Vampire | Thriller,"A group of models and cameramen go to a castle to shoot covers for horror novels where they're captured and tortured by the castle's owner, the Crimson Executioner. Find out more about this film on it's IMDB page. These are test for the…",https://archive.org/details/bloody_pit_of_horror_ipod,https://archive.org/services/img/bloody_pit_of_horror_ipod
The Real Bruce Lee (1973),,GCDB,grindhouse | brucesploitation | brucelee | exploitation | film | 70s,Brucesploitation kung fu classic. Public Domain.,https://archive.org/details/TheRealBruceLee1973,https://archive.org/services/img/TheRealBruceLee1973
Bill and Coo (1948),,pearlheartgtr,Bill | Coo | Bill and Coo,"Welcome to Chirpendale. There's plenty of parking space, plus it has everything: a bar where bird citizens can drink junebug sundaes and listen to jazzy music. But the bird citizens are terrorized by an evil raven called ""The Black…",https://archive.org/details/BillAndCoo1948,https://archive.org/services/img/BillAndCoo1948
Lost in the Wash,2006,Aren Haun,feature | comedy | independent,"CAUTION: I recommend downloading, not streaming. When I tried to stream, the dialogue went out-of-sync. It might work well with faster broadband. Lost in the Wash tells the story of a filmmaker (Blake Mitchell) who becomes a participant in…",https://archive.org/details/ArenHaunLostintheWash,https://archive.org/services/img/ArenHaunLostintheWash
AELITA: QUEEN OF MARS (original version).,,none,sci fi | silent sci fi | fantasy | Russian sci fi | propaganda | Mars,"This film is in the public domain. The copyright notice in the opening credits refers to a musical background track which has been removed. This is the original, unedited, full-length version which predates ""Metropolis"" by three years.…",https://archive.org/details/AelitaQueenOfMarsoriginalVersion,https://archive.org/services/img/AelitaQueenOfMarsoriginalVersion
Assassin Of Youth,1937,,assassin of youth | marihuana | propaganda,"A high-school girl gets involved with a ring of teenage marijuana smokers, not realizing that she is being framed by greedy relatives out to prevent her from getting an inheritance, and starts down the road to ruin. A reporter poses as a…",https://archive.org/details/AssassinOfYouth_423,https://archive.org/services/img/AssassinOfYouth_423
Enter The Lone Ranger,1949,,Lone Ranger,Enter the Lone Ranger.,https://archive.org/details/EnterTheLoneRanger,https://archive.org/services/img/EnterTheLoneRanger
damaged lives,,,drama,film,https://archive.org/details/DamagedLives,https://archive.org/services/img/DamagedLives
Abbott And Costello Meet Frankenstein,1948,Charles Barton,Charles Barton | Bud Abbott and Lou Costello Meet Frankenstein | comedy | fantasy | horror | Universal Legacy Collection,The Wolf Man tries to warn a dimwitted porter that Dracula wants his brain for Frankenstein monster's body.,https://archive.org/details/abbott-and-costello-meet-frankenstein,https://archive.org/services/img/abbott-and-costello-meet-frankenstein
Curse Of Bigfoot,1975,Dave Flocker,bigfoot | cryptozoology | guy in a monster suit | Dave Flocker | James T. Flocker,"Originally the movie Teenagers Battle the Thing (1958), this 1975 version is colorized and features additional footage. Generally about a group of students who go on an archaeological dig and uncover a monster. Find out more about this…",https://archive.org/details/CurseOfBigfoot_MPEG,https://archive.org/services/img/CurseOfBigfoot_MPEG
Speak Easily,1932,Buster Keaton,Comedy | Buster Keaton,"Naive, bookish Professor Post (Buster Keaton) inherits a huge amount of money and decides that now he can afford to go out and enjoy life",https://archive.org/details/SpeakEasily,https://archive.org/services/img/SpeakEasily
"1996 El Periodo Especial (Cuba 1993, Fidel Castro)",1996,Lutz Mommartz,Lutz Mommartz | German experimental Cinema | Fidel Castro,"Fidel Castro As on a journey to Cuba by a speech from Fidel Castro before his Parliament that was transmitted in television a film was made. (original epic sound) A severe hurricane, which devastated parts of the island the day before,…",https://archive.org/details/PERIODICO,https://archive.org/services/img/PERIODICO
His Girl Friday,1940,Columbia Pictures Corporation,Comedy | Cary Grant | Movie Powder | avi | pdmovies,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying. - IMDB Description,https://archive.org/details/HisGirlFriday,https://archive.org/services/img/HisGirlFriday
"Wild Women of Wongo, The",1958,James L. Wolcott,Drama | Fantasy,"On the tropical island of Wongo, a tribe of beautiful women discover that the other side of the island is inhabited by a tribe of handsome men. They also discover that a tribe of evil ape men live on the island, too, and the ape men are…",https://archive.org/details/wild_women_of_wongo_ipod,https://archive.org/services/img/wild_women_of_wongo_ipod
The Fabulous Dorseys,1947,Charles R. Rogers Productions,Big band | Dorsey Brothers | Bob Eberle | Tommy Dorsey | musical | biography,http://www.imdb.com/title/tt0039365/ The rise and rise of the Fabulous Dorsey brothers is charted in this delightful whymsical step down memory lane. Lots of fun watching Hollywood's more than creative version of their careers. one of only…,https://archive.org/details/TheFabulousDorseys1947DorseyBrosBobEberleNatrip,https://archive.org/services/img/TheFabulousDorseys1947DorseyBrosBobEberleNatrip
The Private Life of Henry VIII (1933),,,Charles Laughton | King Henry VIII | Merle Oberon | Wendy Barrie | Elsa Lanchester | Binnie Barnes | Everley Gregg | Mystic Nights Videos,The private life of King Henry VIII and his many wives. PD In UK At GATT Date. Not Eligible For GATT U.S. copyright not renewed Mystic Nights Videos,https://archive.org/details/ThePrivateLifeOfHenryViii1933,https://archive.org/services/img/ThePrivateLifeOfHenryViii1933
The Battle of Midway,1942,John Ford,WWII | war | documentary | midway,"The Battle of Midway chronicles a significant moment in U.S. History, as have other Ford films like Young Mr. Lincoln (1939) and My Darling Clementine (1946), but the focus here is on ordinary Americans filmed at the time, not famous…",https://archive.org/details/Battle.of.Midway.1942,https://archive.org/services/img/Battle.of.Midway.1942
Mutiny,1952,King Brothers Productions,Adventure | Angela Lansbury | Movie Powder | avi,"Early in the War of 1812, Captain James Marshall is commissioned to run the British blockade and fetch an unofficial war loan from France. As first mate, Marshall recruits Ben Waldridge, a cashiered former British Navy captain. Waldridge…",https://archive.org/details/Mutiny_428,https://archive.org/services/img/Mutiny_428
Ghosts of Hanley House,,,haunted house | ghosts | murder,"Low-budget Haunted House Horror Movie about 5 people who spend the night at old house where two people were murdererd. Its a little amateurish, but is fairly creepy and even a little scary.",https://archive.org/details/GhostsOfHanleyHouse,https://archive.org/services/img/GhostsOfHanleyHouse
American Aristocracy,1916,D.W. Griffith,Silent | Adventure | Comedy | Drama | Douglas Fairbanks,A young man (Douglas Fairbanks) fights to overcome a piratical arms smuggler and to win the heart of a rich man's daughter.,https://archive.org/details/AmericanAristocracy,https://archive.org/services/img/AmericanAristocracy
Johnny One-Eye,1950,Benedict Bogeaus,Drama | Pat O'Brien,Story of a gangster (Pat O'Brien) who isn't quite the tough guy everybody thinks he is.,https://archive.org/details/JohnnyOne-Eye,https://archive.org/services/img/JohnnyOne-Eye
The Playhouse,1921,Joseph M. Schenck,Silent | Comedy | Buster Keaton,"The opening scene, a dream sequence prior to the vaudeville routines which follow, is what makes this film famous. In it Keaton plays everyone in a theatre simultaneously (through multiple exposures). He is the band leader, all its…",https://archive.org/details/ThePlayhouse,https://archive.org/services/img/ThePlayhouse
The Mad Monster,1942,Sigmund Neufeld,Horror | Sci-Fi | Werewolf,"From IMDb : A mad scientist changes his simple-minded handyman into a werewolf in order to prove his supposedly crazy scientific theories - and exact revenge. Isn't that always the way? Stars: Johnny Downs, George Zucco, Anne Nagel, and…",https://archive.org/details/The.Mad.Monster,https://archive.org/services/img/The.Mad.Monster
The Fall of the House of Usher,1928,,Poe,A cleaned up version of this . I removed the logo and most of the Spanish subtitles. You can load the mpeg2 file into DVDAuthorGUI (a free program) and create a DVD to watch on your television.,https://archive.org/details/Fall_of_the_House_of_Usher_1928_Watson,https://archive.org/services/img/Fall_of_the_House_of_Usher_1928_Watson
"Buster Keaton's ""The Play House"" (1921)",1921,,Buster Keaton | Joe Roberts | Virginia Fox | Joseph Schenck | Eddie Cline | silent film | silent movie stars | free classic film,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/ThePlayHouse1921,https://archive.org/services/img/ThePlayHouse1921
Killers from Space,1954,Planet Filmplays,Sci-Fi | Horror | Movie Powder | avi,"A scientist monitoring atomic tests, killed in a plane crash, is revived by aliens so he can spy on the tests and help them conquer the world. - IMDB Description",https://archive.org/details/KillersFromSpace,https://archive.org/services/img/KillersFromSpace
